postal_Code_start,postal_code_end,time
6216AT,6215GC,2061
6216AT,6217VJ,1205
6216AT,6224KG,1689
6216AT,6218RM,1319
6216AT,6224JK,2057
6216AT,6219CZ,3299
6216AT,6226EM,1417
6216AT,6223BC,1524
6216AT,6224XV,2314
6216AT,6228ES,1705
6216AT,6227AD,1875
6216AT,6227EL,1469
6216AT,6218HB,1925
6216AT,6228JV,1369
6216AT,6225JN,2685
6216AT,6221ER,1977
6216AT,6228GK,1799
6216AT,6218AT,1070
6216AT,6224JB,1550
6216AT,6211SN,1787
6216AT,6224TP,1563
6216AT,6224LX,1369
6216AT,6216TG,2290
6216AT,6226AB,1450
6216AT,6229TG,1756
6216AT,6229VE,2426
6216AT,6222XT,2151
6216AT,6222EH,2057
6216AT,6217BC,1186
6216AT,6227VK,2649
6216AT,6211SJ,1669
6216AT,6225CD,2426
6216AT,6216SR,2101
6216AT,6216SG,1340
6216AT,6215VG,2301
6216AT,6211AL,2166
6216AT,6224JP,1310
6216AT,6217NK,1450
6216AT,6222BC,2979
6216AT,6227SP,1415
6216AT,6225AN,2392
6216AT,6212GT,1738
6216AT,6215TD,971
6216AT,6223AV,592
6216AT,6211EN,724
6216AT,6217KB,626
6216AT,6227SG,742
6216AT,6226AX,755
6216AT,6227BX,664
6216AT,6222TE,2325
6216AT,6222XP,2687
6216AT,6214PC,1660
6216AT,6214TE,1487
6216AT,6215TR,2239
6216AT,6229BH,1865
6216AT,6218CP,998
6216AT,6214SJ,1551
6216AT,6228SC,1652
6216AT,6224EW,1747
6216AT,6218AZ,1120
6216AT,6219AE,2884
6216AT,6223BG,1412
6216AT,6214AA,1439
6216AT,6217JM,1688
6216AT,6213AM,2901
6216AT,6211LM,1969
6216AT,6217KT,1833
6216AT,6227AT,1933
6216AT,6227XJ,2413
6216AT,6222SJ,1206
6216AT,6211JM,1228
6216AT,6215TE,869
6216AT,6219BW,1115
6216AT,6221CG,908
6216AT,6219AS,1139
6216AT,6219AN,1282
6216AT,6216RG,757
6216AT,6216CT,825
6216AT,6216EP,709
6216AT,6227VE,1277
6216AT,6217AK,496
6216AT,6221GB,670
6216AT,6227VD,1042
6216AT,6211CR,681
6216AT,6216PV,1155
6216AT,6226CR,636
6216AT,6216XH,395
6216AT,6227GJ,666
6216AT,6223BJ,655
6216AT,6225GP,873
6216AT,6211EM,853
6216AT,6216SP,909
6216AT,6221JD,547
6216AT,6225DG,1060
6216AT,6227EG,629
6216AT,6212AE,733
6216AT,6216TC,906
6216AT,6229HD,732
6216AT,6221GK,694
6216AT,6224XD,746
6216AT,6223CT,793
6216AT,6222EB,540
6216AT,6211KG,1004
6216AT,6211PD,645
6216AT,6224VB,733
6216AT,6224KZ,754
6216AT,6215SH,1279
6216AT,6216AS,551
6216AT,6216AJ,563
6216AT,6218GH,1421
6216AT,6221AX,847
6216AT,6214AT,547
6216AT,6211GB,614
6216AT,6221CK,796
6216AT,6223GB,633
6216AT,6211AW,678
6216AT,6217JP,764
6216AT,6213GB,866
6216AT,6214SG,590
6216AT,6224HV,656
6216AT,6217HW,492
6216AT,6221XE,760
6216AT,6218BZ,388
6216AT,6211LG,481
6216AT,6216VT,410
6216AT,6219AZ,1144
6216AT,6225HK,1261
6216AT,6218VW,409
6216AT,6219BK,1096
6216AT,6214TW,624
6216AT,6212AM,1226
6216AT,6228EM,574
6216AT,6223HB,738
6216AT,6216XP,781
6216AT,6221VZ,1009
6216AT,6217AV,579
6216AT,6227GM,770
6216AT,6214TB,626
6216AT,6211GC,630
6216AT,6229HB,901
6216AT,6222WJ,1197
6216AT,6227AS,638
6216AT,6229WP,843
6216AT,6219NM,1333
6216AT,6226GC,548
6216AT,6226XK,614
6216AT,6227GT,673
6216AT,6221AW,870
6216AT,6216SM,854
6216AT,6213KE,1078
6216AT,6226ED,579
6216AT,6227TE,641
6216AT,6211NE,729
6216AT,6223AG,673
6216AT,6224GK,571
6216AT,6214TD,619
6216AT,6213BL,805
6216AT,6212XB,465
6216AT,6211JX,1111
6216AT,6227HD,673
6216AT,6225GG,824
6216AT,6214RT,507
6216AT,6217LX,726
6216AT,6211MZ,531
6216AT,6215ES,674
6216AT,6214RB,459
6216AT,6215PZ,694
6216AT,6217KJ,518
6216AT,6215SZ,726
6216AT,6223BM,564
6216AT,6211JB,462
6216AT,6223ED,876
6216AT,6225AA,1230
6216AT,6217KZ,631
6216AT,6217XG,402
6216AT,6214TK,520
6216AT,6226GT,606
6216AT,6229ZC,670
6216AT,6228HW,646
6216AT,6216RN,817
6216AT,6218CK,447
6216AT,6226XE,571
6216AT,6226BG,554
6216AT,6224TW,946
6216AT,6211RT,562
6216AT,6227TL,633
6216AT,6227XN,863
6216AT,6211HH,161
6216AT,6211XB,834
6216AT,6215KL,713
6216AT,6226VR,579
6216AT,6221GG,563
6216AT,6227RP,639
6216AT,6222BN,555
6216AT,6211HZ,921
6216AT,6219BV,999
6216AT,6216BL,387
6216AT,6218CM,413
6216AT,6223CS,630
6216AT,6211BG,760
6216AT,6221EN,605
6216AT,6213GA,583
6216AT,6228AX,581
6216AT,6218AV,448
6216AT,6218AL,379
6216AT,6224BK,915
6216AT,6218CW,488
6216AT,6216TN,833
6216AT,6224GT,529
6216AT,6216RS,686
6216AT,6218GT,929
6216AT,6222XX,1126
6216AT,6215TA,957
6216AT,6217EP,469
6216AT,6213GR,1578
6216AT,6227VB,935
6216AT,6214VV,2126
6216AT,6227XL,917
6216AT,6217NB,776
6216AT,6216NZ,824
6216AT,6229BK,558
6216AT,6224AS,883
6216AT,6214XZ,2402
6216AT,6223GN,742
6216AT,6211PZ,469
6211LR,6217KS,498
6211LR,6216TS,438
6211LR,6223BD,644
6211LR,6226GM,740
6211LR,6224EG,924
6211LR,6227SW,921
6211LR,6225GN,946
6211LR,6211TC,362
6211LR,6216ER,543
6211LR,6219AW,626
6211LR,6217CA,681
6211LR,6225GW,645
6211LR,6215XT,715
6211LR,6214SL,551
6211LR,6212XC,365
6211LR,6227EN,716
6211LR,6218XC,526
6211LR,6211GD,657
6211LR,6213GB,385
6211LR,6227BN,641
6211LR,6222BC,807
6211LR,6214XL,708
6211LR,6224AX,883
6211LR,6213JN,1357
6211LR,6216PT,639
6211LR,6211KX,354
6211LR,6211MA,494
6211LR,6224XW,701
6211LR,6216SE,537
6211LR,6213BG,402
6211LR,6226AK,678
6211LR,6222AT,732
6211LR,6215TB,516
6211LR,6213HK,1431
6211LR,6224LE,672
6211LR,6218HE,809
6211LR,6215RL,732
6211LR,6227HB,652
6211LR,6214SC,369
6211LR,6224HX,493
6211LR,6221BZ,689
6211LR,6228EL,652
6211LR,6222SR,1109
6211LR,6218VC,517
6211LR,6212XS,595
6211LR,6227VR,594
6211LR,6221BP,858
6211LR,6217AT,531
6211LR,6224GC,631
6211LR,6225EH,675
6211LR,6224AP,889
6211LR,6216PE,512
6211LR,6217CR,659
6211LR,6211SK,714
6211LR,6216SN,527
6211LR,6217BS,502
6211LR,6222AE,692
6211LR,6229HK,561
6211LR,6212AN,1586
6211LR,6228HH,472
6211LR,6223AJ,549
6211LR,6213GW,1247
6211LR,6217NB,498
6211LR,6229TH,454
6211LR,6227ED,681
6211LR,6211GC,412
6211LR,6221TM,724
6211LR,6216PN,671
6211LR,6222ST,994
6211LR,6217KH,669
6211LR,6229WK,562
6211LR,6227VD,710
6211LR,6217LW,525
6211LR,6222BA,702
6211LR,6225HC,648
6211LR,6227DB,623
6211LR,6215PX,413
6211LR,6221BR,821
6211LR,6222CN,404
6211LR,6221VZ,964
6211LR,6217AH,484
6211LR,6217LH,554
6211LR,6213GA,451
6211LR,6227HE,654
6211LR,6227EC,577
6211LR,6211JJ,472
6211LR,6214XA,588
6211LR,6228GW,508
6211LR,6226WT,839
6211LR,6214AA,600
6211LR,6228GA,625
6211LR,6211KH,447
6211LR,6224VB,761
6211LR,6226AB,450
6211LR,6218DA,482
6211LR,6217LR,526
6211LR,6226CJ,550
6211LR,6215TJ,426
6211LR,6216NS,521
6211LR,6217AK,603
6211LR,6225DK,829
6211LR,6212BW,1263
6211LR,6222WD,744
6211LR,6217HV,526
6211LR,6226WP,989
6211LR,6212BD,1493
6211LR,6228AK,620
6211LR,6225HD,791
6211LR,6215XM,711
6211LR,6224DC,424
6211LR,6216TR,424
6211LR,6227RM,792
6211LR,6222WK,783
6211LR,6228DK,564
6211LR,6212GS,626
6211LR,6211MZ,414
6211LR,6228CW,560
6211LR,6229TG,547
6211LR,6215VG,573
6211LR,6213AA,403
6211LR,6215RS,654
6211LR,6227TG,794
6211LR,6229VT,609
6211LR,6215RA,418
6211LR,6214VT,603
6211LR,6211JH,406
6211LR,6225EJ,868
6211LR,6224LG,547
6211LR,6224BA,947
6211LR,6211MV,441
6211LR,6221CM,725
6211LR,6222CB,493
6211LR,6222BT,741
6211LR,6211BG,874
6211LR,6229GD,378
6211LR,6218SW,551
6211LR,6216SM,539
6211LR,6221VM,549
6211LR,6211EA,709
6211LR,6225EA,853
6211LR,6227RS,583
6211LR,6212GD,1265
6211LR,6216ST,478
6211LR,6223AG,682
6211LR,6212EH,1012
6211LR,6218GD,457
6211LR,6218VN,488
6211LR,6211PA,463
6211LR,6226CB,443
6211LR,6222CH,463
6211LR,6211LM,453
6211LR,6224VX,693
6211LR,6211NA,440
6211LR,6227BT,619
6211LR,6221VB,553
6211LR,6227TS,729
6211LR,6228LE,686
6211LR,6217XN,576
6211LR,6226WB,805
6211LR,6219AK,648
6211LR,6224AN,1037
6211LR,6218HK,740
6211LR,6218GJ,565
6211LR,6211NM,401
6211LR,6223AD,480
6211LR,6226BA,697
6211LR,6226DL,704
6211LR,6211JK,472
6211LR,6215TH,422
6211LR,6229AZ,445
6211LR,6215JS,455
6211LR,6219BP,632
6211LR,6215GH,407
6211LR,6226GP,608
6211LR,6226CW,623
6211LR,6225CH,1041
6211LR,6217PA,742
6211LR,6229VZ,486
6211LR,6218GC,482
6211LR,6218CW,501
6211LR,6215PS,432
6211LR,6218AR,454
6211LR,6219BB,664
6211LR,6225XZ,699
6211LR,6218XD,600
6211LR,6216VC,526
6211LR,6224LP,568
6211LR,6223BH,808
6211LR,6227HA,808
6211LR,6222EC,411
6211LR,6224EE,880
6211LR,6228BN,518
6211LR,6229AX,400
6211LR,6224XJ,674
6211LR,6211NS,439
6211LR,6218VA,581
6211LR,6226DS,600
6211LR,6223CK,565
6211LR,6216PX,710
6211LR,6223HE,543
6211LR,6229WL,551
6211LR,6228GC,579
6211LR,6213EM,598
6211LR,6228SM,673
6211LR,6213EV,772
6211LR,6214XP,451
6211LR,6215PH,454
6211LR,6214XM,407
6211LR,6229WT,539
6211LR,6217PH,711
6211LR,6229GX,549
6211LR,6212NJ,549
6211LR,6213HV,1162
6211LR,6223CA,592
6211LR,6227XS,1120
6211LR,6229ZD,522
6211LR,6221HG,698
6211LR,6227RG,802
6211LR,6211PG,462
6211LR,6226DA,631
6211LR,6222WE,788
6211LR,6218CC,451
6211LR,6227AV,649
6211LR,6217VP,537
6211LR,6221XT,374
6211LR,6222BZ,442
6211LR,6229TW,440
6211LR,6216RZ,529
6211LR,6216RE,613
6211LR,6213BV,398
6211LR,6228CM,485
6211LR,6221TX,833
6211LR,6211NG,509
6211LR,6228AL,690
6211LR,6213HT,1844
6211LR,6217VJ,536
6211LR,6214TT,372
6211LR,6226DM,694
6211LR,6216RL,607
6211LR,6211BC,784
6211LR,6223GZ,502
6211LR,6224GM,462
6211LR,6215VS,501
6211LR,6218HG,694
6211LR,6215RX,614
6211LR,6224XX,666
6211LR,6225ES,798
6211LR,6227SK,827
6211LR,6216CP,494
6211LR,6227SB,1123
6211LR,6226AW,725
6211LR,6222CE,389
6211LR,6218RX,599
6211LR,6222WJ,767
6211LR,6227BJ,654
6211LR,6224KG,436
6211LR,6215EM,479
6211LR,6227VA,781
6211LR,6217XV,654
6211LR,6224TL,588
6211LR,6214VX,715
6211LR,6211AT,764
6211LR,6215RR,639
6211LR,6226BL,817
6211LR,6213JS,753
6211LR,6216BM,458
6211LR,6217JW,531
6211LR,6213GC,879
6211LR,6225HL,713
6211LR,6221HE,548
6211LR,6215VE,424
6211LR,6226EN,441
6211LR,6226GE,628
6211LR,6215BN,428
6211LR,6214TC,412
6211LR,6229HW,380
6211LR,6216TD,449
6211LR,6228LB,662
6211LR,6211LC,550
6211LR,6216SV,610
6211LR,6224XM,700
6211LR,6212XW,762
6211LR,6228HC,578
6211LR,6213GK,856
6211LR,6215SZ,378
6211LR,6215EP,399
6211LR,6229HH,422
6211LR,6214XJ,616
6211LR,6214VG,402
6211LR,6217HG,485
6211LR,6214AC,575
6211LR,6215BP,422
6211LR,6217EP,511
6211LR,6218AN,503
6211LR,6212BK,1222
6211LR,6225GB,640
6211LR,6215JL,418
6211LR,6211LH,322
6211LR,6211BE,665
6211LR,6211PM,802
6211LR,6212EC,878
6211LR,6227VT,749
6211LR,6218WH,499
6211LR,6211BP,722
6211LR,6211AP,756
6211LR,6216PZ,700
6211LR,6228EB,624
6211LR,6217BR,475
6211LR,6229HE,478
6211LR,6224JV,473
6211LR,6221HB,565
6211LR,6226CP,665
6211LR,6224JP,478
6211LR,6218VG,477
6211LR,6221AC,782
6211LR,6216CJ,746
6211LR,6218BS,500
6211LR,6214AR,429
6211LR,6217GW,630
6211LR,6215KJ,408
6211LR,6228JB,451
6211LR,6221GE,567
6211LR,6224EN,621
6211LR,6218SE,665
6211LR,6224CT,1060
6211LR,6225DH,766
6211LR,6222SN,1049
6211LR,6216AC,572
6211LR,6225JM,868
6211LR,6221EK,538
6211LR,6212GT,679
6211LR,6216PH,599
6211LR,6215XD,472
6211LR,6226AT,597
6211LR,6218WB,556
6211LR,6223CL,506
6211LR,6221SW,691
6211LR,6222XS,667
6211LR,6212XK,366
6211LR,6214TH,398
6211LR,6225CA,807
6211LR,6211EL,711
6211LR,6225GA,659
6211LR,6212BA,1482
6211LR,6215RB,491
6211LR,6229HZ,449
6211LR,6214AM,564
6211LR,6224TG,451
6211LR,6215XL,767
6211LR,6213BH,396
6211LR,6227AR,677
6211LR,6221CP,393
6211LR,6224VN,657
6211LR,6221JM,622
6211LR,6217VR,497
6211LR,6218GT,590
6211LR,6222ED,411
6211LR,6211SC,706
6211LR,6216XR,599
6211LR,6224BJ,939
6211LR,6217CB,536
6211LR,6225KM,672
6211LR,6223AE,485
6211LR,6214VZ,655
6211LR,6229BC,496
6211LR,6228EV,527
6211LR,6213KB,1199
6211LR,6216VJ,446
6211LR,6229TE,472
6211LR,6216PS,600
6211LR,6212AS,1232
6211LR,6226EJ,632
6211LR,6216PL,601
6211LR,6211KA,1158
6211LR,6212CL,1182
6211LR,6229BD,435
6211LR,6213HG,732
6211LR,6214AP,428
6211LR,6228GN,506
6211LR,6212BT,1249
6211LR,6217LP,607
6211LR,6215KC,388
6211LR,6222CP,489
6211LR,6217JJ,552
6211LR,6211ER,641
6211LR,6226GL,612
6211LR,6212BM,1443
6211LR,6213AD,458
6211LR,6218ST,451
6211LR,6226XZ,659
6211LR,6227XN,1294
6211LR,6224VV,697
6211LR,6224JA,593
6211LR,6217LJ,635
6211LR,6211PC,608
6211LR,6216AT,657
6211LR,6221CX,765
6211LR,6211JA,480
6211LR,6214SR,509
6211LR,6222VV,854
6211LR,6226WX,952
6211LR,6211EB,737
6211LR,6215SM,541
6211LR,6222XW,796
6211LR,6218AT,530
6211LR,6216VP,558
6211LR,6227SZ,738
6211LR,6228EG,864
6211LR,6217BC,677
6211LR,6212BS,1396
6211LR,6229AH,472
6211LR,6215XN,887
6211LR,6224HN,574
6211LR,6227CP,821
6211LR,6213GH,1032
6211LR,6213BT,557
6211LR,6218WC,574
6211LR,6213JT,1411
6211LR,6212EL,1314
6211LR,6211LA,430
6211LR,6229EA,670
6211LR,6228HX,589
6211LR,6218BP,779
6211LR,6211RM,857
6211LR,6217EJ,614
6211LR,6227AL,851
6211LR,6221SG,618
6211LR,6227GN,620
6211LR,6229GC,400
6211LR,6216ES,560
6211LR,6224HT,579
6211LR,6217NV,728
6211LR,6224KB,606
6211LR,6217VK,649
6211LR,6225KL,802
6211LR,6215TZ,485
6211LR,6218BW,549
6211LR,6218EN,589
6211LR,6218GV,603
6211LR,6221VX,1067
6211LR,6226XH,751
6211LR,6222BL,479
6211LR,6214BB,393
6211LR,6227SJ,666
6211LR,6219AX,958
6211LR,6229BH,511
6211LR,6217BW,574
6211LR,6229HD,667
6211LR,6222CZ,521
6211LR,6215EV,476
6211LR,6212ER,1637
6211LR,6225BE,768
6211LR,6218RT,582
6211LR,6227EH,741
6211LR,6229XM,695
6211LR,6218HL,846
6211LR,6213CG,698
6211LR,6212NH,1447
6211LR,6219AS,741
6211LR,6221VW,620
6211LR,6226VJ,839
6211LR,6212HH,597
6211LR,6222EB,607
6211LR,6225EL,869
6211LR,6224GA,866
6211LR,6217LD,736
6211LR,6211XB,859
6211LR,6217NX,812
6211LR,6217GV,553
6211LR,6214RV,481
6211LR,6225BW,778
6211LR,6211XS,740
6211LR,6211PK,702
6211LR,6222PD,750
6211LR,6229AG,576
6211LR,6222EL,746
6211LR,6227TM,1027
6211LR,6216VB,575
6211LR,6221KZ,544
6211LR,6228AE,773
6211LR,6212EX,1349
6211LR,6217ET,763
6211LR,6213EC,768
6211LR,6226WG,903
6211LR,6211RC,690
6211LR,6216BH,502
6211LR,6224BB,1013
6211LR,6214PM,640
6211LR,6214TR,442
6211LR,6224EX,757
6211LR,6228GJ,615
6211LR,6216PP,733
6211LR,6211NH,474
6211LR,6213CT,493
6211LR,6225AL,827
6211LR,6228JV,662
6211LR,6216TB,587
6211LR,6221BN,1162
6211LR,6224VL,880
6211LR,6229AW,525
6211LR,6227TA,957
6211LR,6221XK,830
6211LR,6211SN,910
6211LR,6227BS,731
6211LR,6224TW,664
6211LR,6212HD,1500
6211LR,6215RH,542
6211LR,6229XP,571
6211LR,6214PA,562
6211LR,6222NA,716
6211LR,6212BP,1795
6211LR,6218SH,734
6211LR,6221XD,978
6211LR,6224EV,669
6211LR,6225ET,892
6211LR,6222BP,726
6211LR,6223HA,684
6211LR,6227XH,793
6211LR,6215XR,864
6211LR,6226BR,812
6211LR,6226BG,802
6211LR,6221VT,727
6211LR,6213JV,823
6211LR,6218RB,492
6211LR,6221EW,523
6211LR,6211EV,817
6211LR,6223AX,697
6211LR,6222TZ,835
6211LR,6216TC,629
6211LR,6212XD,406
6211LR,6226HS,730
6211LR,6225KH,833
6211LR,6225AG,992
6211LR,6229VP,629
6211LR,6221AH,1016
6211LR,6225BC,860
6211LR,6224LX,674
6211LR,6211RV,844
6211LR,6215TA,564
6211LR,6218GA,738
6211LR,6211ET,724
6211LR,6222CG,550
6211LR,6228BJ,634
6211LR,6222TX,1090
6211LR,6222AL,907
6211LR,6222NE,950
6211LR,6216AZ,587
6211LR,6218XA,630
6211LR,6211SZ,971
6211LR,6211PS,897
6211LR,6224GX,672
6211LR,6225JT,892
6211LR,6217BH,553
6211LR,6212BL,2216
6211LR,6216AP,739
6211LR,6211MB,818
6211LR,6225BR,779
6211LR,6213HP,1724
6211LR,6224VT,1147
6211LR,6211RL,831
6211LR,6222EM,503
6211LR,6222SK,813
6211LR,6228XV,873
6211LR,6229VW,708
6211LR,6213GP,1334
6211LR,6221CK,1106
6211LR,6217JM,1880
6211LR,6224VK,2245
6211LR,6222XR,1969
6211LR,6211PW,1244
6211LR,6221HH,1749
6211LR,6211WE,2294
6211LR,6211LD,1041
6211LR,6213EP,1731
6211LR,6211RR,2012
6211LR,6226ET,1626
6211LR,6216TJ,1292
6211LR,6222SV,2847
6211LR,6212CM,3674
6211LR,6219AP,1944
6211LR,6217ND,1387
6211LR,6223GP,1530
6211LR,6211PJ,1738
6211LR,6218BC,1426
6211LR,6211KZ,1073
6211LR,6226VN,1860
6211LR,6224AH,2526
6211LR,6213BA,1306
6211LR,6216PV,1930
6211LR,6216EG,1493
6211LR,6226BB,1976
6211LR,6215JA,1372
6211LR,6223CR,1523
6211LR,6228SG,1516
6211LR,6227RX,1952
6211LR,6224EB,2320
6211LR,6211RJ,1580
6211LR,6225CE,2033
6211LR,6228BK,1156
6211LR,6223EC,2134
6211LR,6228JM,1343
6211LR,6224BT,2537
6211LR,6217KL,1517
6211LR,6216XJ,1484
6211LR,6226EG,1934
6211LR,6224CC,2452
6211LR,6213AJ,1364
6211LR,6214VJ,1147
6211LR,6227CK,1736
6211LR,6212GJ,5456
6211LR,6223EV,1828
6211LR,6219PE,2012
6211LR,6224XZ,1717
6211LR,6228HG,2112
6211LR,6226VZ,2091
6211LR,6215EK,1111
6211LR,6215TW,1844
6211LR,6227GA,1655
6211LR,6225KE,1991
6211LR,6216BN,1417
6211LR,6214XH,1088
6211LR,6224TB,1508
6211LR,6224GD,1706
6211LR,6215BK,1183
6211LR,6218CK,1284
6211LR,6219AB,2019
6211LR,6222VK,1888
6211LR,6226WZ,2068
6211LR,6211SX,2083
6211LR,6212EV,5128
6211LR,6214SK,999
6211LR,6216BL,1186
6211LR,6229GL,1654
6211LR,6228CS,1216
6211LR,6214PT,1365
6211LR,6218TJ,1456
6211LR,6226AG,1716
6211LR,6221JL,1455
6211LR,6224KN,1579
6211LR,6213CH,1101
6211LR,6222VB,2013
6211LR,6212BV,5914
6211LR,6215SP,1502
6211LR,6224CR,1849
6211LR,6211HP,1525
6211LR,6218GK,1767
6211LR,6227GC,1967
6211LR,6218EB,1369
6211LR,6226AP,1309
6211LR,6216BT,1385
6211LR,6221AT,1189
6211LR,6228GK,940
6211LR,6215GA,551
6211LR,6217NW,862
6211LR,6221TD,855
6211LR,6212NL,802
6211LR,6217HH,690
6211LR,6224ER,728
6211LR,6222TL,1015
6211LR,6226DK,984
6211LR,6213AL,446
6211LR,6211AX,871
6211LR,6221GD,763
6211LR,6227AN,590
6211LR,6226WR,1045
6211LR,6223BE,727
6211LR,6229AE,529
6211LR,6217GD,1037
6211LR,6229VS,539
6211LR,6216AL,689
6211LR,6224KZ,589
6211LR,6218VB,841
6211LR,6227BP,857
6211LR,6218GG,1026
6211LR,6221VS,731
6211LR,6224HB,565
6211LR,6218GR,758
6211LR,6215XW,940
6211LR,6217CC,646
6211LR,6226HJ,783
6211LR,6225GX,1081
6211LR,6221AL,1041
6211LR,6227RR,952
6211LR,6211XN,847
6211LR,6211GK,704
6211LR,6216CS,795
6211LR,6215SL,509
6211LR,6212HA,1220
6211LR,6211KC,1458
6211LR,6211XX,927
6211LR,6218TE,713
6211LR,6224KX,596
6211LR,6211HA,700
6211LR,6215EL,555
6211LR,6215RE,548
6211LR,6216TE,531
6211LR,6222AA,742
6211LR,6224JN,599
